#name	rv	rverr	vsiniul	vsini	vsinierr	numstd	bestspt	binflag	beststd	CG
2MASSJ08342423-534	18.820328004056634	0.1698008282183013	nan	15.870138460892749	1.290539096868397	11	F9V		gamPav	CG17
2MASSJ08343731-502	19.142438466994708	0.42465999232667606	nan	21.479913499222604	1.237373992542153	10	K0V		HD26965	CG17
2MASSJ08352943-514	19.898057251746	0.42411077732150065	nan	31.47710749869852	1.826581695069369	10	F6V		tauPsA	CG17
TYC8153-960-1	20.983102373353383	2.2235577343617043	nan	77.8388685704868	4.055007915993257	6	F7V		20Oph	CG17
HD70977	19.349949192945513	1.9837221346207154	nan	87.0724205870224	3.080441509503676	4	A7V		73Vir	CG17
2MASSJ08253727-491	21.719569031878297	0.2850237227009708	nan	16.85528592176489	0.9821651205114119	10	K1V		12Oph	CG17
TYC8158-2342-1	20.340798292744196	0.412563770582911	nan	35.77066569878412	2.854305572650555	9	F5.5V		53Vir	CG17
HD74056	nan	nan	l	150.0	nan	8	A1V		HD65900	CG17
HD73105	nan	nan	l	nan	nan	1	B9V		HD4622	CG17
TYC8568-2056-1	10.06467432922882	0.7238282728228278	nan	40.738123832878834	2.801327500835828	6	F6V	SB1?	HD38393	CG17
2MASSJ08393055-512	20.018108940200182	0.5674072635413958	nan	7.502737849620131	1.809052715397821	8	K1V		12Oph	CG17
2MASSJ08414215-520	19.51475919132666	0.3128013597214379	nan	15.368648647200763	1.1655741206961159	8	K0V		HD100623	CG17
2MASSJ08415930-521	19.254440351311302	0.15006951086272077	nan	6.401404868129143	1.706664928108799	8	K0V		HD100623	CG17
2MASSJ08373864-510	nan	nan	nan	52.25939031877231	8.705685477152196	6	K1V		12Oph	CG17
TYC8163-1809-1	12.055362588246162	0.16074310892946697	nan	14.234461028200382	7.471589283519311	10	F9V	SB1?	171Pup	CG17
TYC8163-2765-1	40.54016441375279	0.15311855763592314	nan	6.182217503582771	6.024094358348017	9	F9V	SB1?	171Pup	CG17
CD-503414	19.719311771351133	2.057251221811088	nan	97.3392143113323	27.84098308029738	5	A3V		HD216956	CG17
TYC8162-333-1	19.733545708795685	0.5803053551194299	nan	34.99944538233795	1.162496424114668	6	F5V		58Oph	CG17
2MASSJ08192677-491	20.823923885291844	0.18199857844997805	nan	11.886499762982416	1.1376290768350559	10	K1V		12Oph	CG17
CD-513115	15.996635595022775	3.8503806978222612	nan	93.82510110025946	11.867380595866065	3	A7V		73Vir	CG17
2MASSJ08411381-522	18.442179371056852	0.1520676950231071	nan	9.677255628848712	6.195227258574409	9	G1V		HD9562	CG17
2MASSJ08361270-515	19.808755154169496	0.18698764111768013	nan	10.531958844690068	0.6805836211906032	6	G5V		HD111031	CG17
2MASSJ08404809-512	19.542644773260328	0.15902490163975824	nan	17.74941764065428	1.126079452467425	9	G2V		HD38858	CG17
2MASSJ08362653-494	19.386953689973062	0.14498366902851106	nan	7.5859938452401705	6.859491139166822	9	G0V		HD34721	CG17
2MASSJ08443526-523	18.946576331682227	0.4580063268542764	nan	26.809889449261796	1.0577199293387514	7	G9V	SB2?	epsFor	CG17
TYC8569-3283-1	18.51542699127574	0.35910380995024516	nan	36.490376244715506	2.4951045289539513	6	F5.5V		53Vir	CG17
HD73951	nan	nan	l	nan	nan	6	A1V		HD65900	CG17
2MASSJ08395173-515	11.159513247136605	1.7900384887555247	nan	17.764872351281667	5.866219977793356	9	G3V	SB1?	HD4391	CG17
2MASSJ08441148-494	27.81554712909277	3.110316965071744	nan	9.774429526903848	4.2685726514950195	7	G5V	SB1?	HD111031	CG17
TYC8163-1937-1	30.931630829890274	0.2133495669077428	nan	9.652774191017334	0.6658660613804457	6	G8V	SB1?	HD10700	CG17
TYC8568-1105-1	18.366021367022377	2.144633185173526	nan	90.62906183141882	4.129936909423384	4	F2V		ksiOph	CG17
TYC8158-1304-1	20.319851878453857	0.151137075567934	nan	14.602971906960033	1.82099224391213	6	F6V		tauPsA	CG17
