#name	rv	rverr	vsiniul	vsini	vsinierr	numstd	bestspt	binflag	beststd	CG
HD63254	nan	nan	l	150.0	nan	6	B9V		HD4622	CG3
TYC8135-4862-1	nan	nan	l	150.0	nan	7	A3V		HD138105	CG3
TYC8139-2616-1	21.123830945592687	1.3975673462743092	nan	63.62393614358727	6.360698086047924	3	F1V		HD40136	CG3
2MASSJ07541482-462	21.2950109666624	0.3985823668616452	nan	19.105392505836313	0.7999009881314912	7	K3V		HD16160	CG3
2MASSJ07513612-460_2	47.317843222374954	1.1654323861111604	nan	27.60707984176959	2.4932617318119115	10	K2V	SB1	HD22049	CG3
TYC8133-1754-1	19.47359792020306	0.7960650959937736	nan	44.51278286431827	5.826651479684685	3	F5.5V		53Vir	CG3
TYC8133-1522-1	17.54565531516377	1.5784999660595063	nan	62.813197416380426	4.067374700466714	6	G9V		epsFor	CG3
HD63579	-14.107287488555889	6.591269678927956	nan	57.84343602378632	11.75827511911546	1	B9V	SB1?	HD4622	CG3
HD64699	nan	nan	l	nan	nan	9	A3V		HD96568	CG3
HD64780	nan	nan	l	150.0	nan	6	A1V		HD65900	CG3
CD-463471	17.367203312473002	5.413420455379054	l	150.0	nan	9	A2V		HIP113673	CG3
2MASSJ07592987-483	23.3466123224498	0.10160705639655826	nan	4.217132145381613	1.0787671525147409	9	G1V		HD9562	CG3
TYC8134-2250-1	nan	nan	l	150.0	nan	6	B9V		HD4622	CG3
TYC8134-2250-2	nan	nan	nan	29.64409765109136	35.724017092483685	6	A3V		HD96568	CG3
TYC8138-2569-1	19.845855353111563	2.3896797447011955	nan	52.64293600793523	6.903181356019232	2	A7V		73Vir	CG3
TYC8134-1929-1	17.95034472018154	3.495959053300102	nan	45.64968042339208	nan	7	A3V		HD216956	CG3
CD-483205	20.143174998204543	3.527139921252847	nan	44.30117042024363	28.49296744384964	8	A1V		HD65900	CG3
2MASSJ07491846-465	16.696259305057037	3.7377620900332382	nan	7.623540197011462	31.054889654634376	2	A7V		73Vir	CG3
HD64759	nan	nan	l	nan	nan	8	A3V		HD138105	CG3
TYC8138-2304-1	nan	nan	nan	8.51586963198087	2.124854874186912	6	G9V		epsFor	CG3
TYC8134-2159-1	23.13431915641117	2.036909498511194	nan	72.25255719106123	8.56195676213366	6	F6V		HD30652	CG3
HD64248	nan	nan	l	150.0	nan	4	B9V		HD4622	CG3
HD64318	101.86863436163397	7.247817686687613	nan	57.195507781853195	11.771248986332274	1	B9V	SB1?	HD4622	CG3
HD64578	13.509227195118532	4.057205714914769	nan	63.43661562387649	8.454272319594581	2	A0V	SB1?	ECen	CG3
HD64461	nan	nan	l	150.0	nan	9	A3V		HD96568	CG3
HD65658	-41.985606438735154	5.223216484592143	nan	56.39463990641306	13.426772161682825	1	B9V	SB1?	HD4622	CG3
HD66191	nan	nan	l	150.0	nan	9	A1V		HD91375	CG3
2MASSJ07501009-472	20.533700458765	0.24892614978832273	u	4.0	0.6409200654524166	9	K2V		HD22049	CG3
2MASSJ07501518-461	19.50189750617054	0.1589144591944192	nan	8.311465639873434	6.1194573374450405	9	G0V		HD34721	CG3
2MASSJ07502910-475	13.99579884701554	3.0663024925303093	nan	58.65594383165275	5.567907956343452	8	K3V	SB1?	HD32147	CG3
CD-483192	20.20990723731698	2.3434923692860394	nan	20.136158760594036	12.109802821072988	4	F1V		HD40136	CG3
TYC8138-168-1	20.0927983990955	2.5879893636489335	nan	85.78727319298453	18.421712245602528	5	A3V		HD216956	CG3
HD67418	19.09502495753266	1.8808954651066243	nan	74.34499597810132	4.765664491934628	4	F1V		HD40136	CG3
2MASSJ07463583-445	22.18476038932366	0.7803891970598312	nan	34.2851129392109	2.549230530362293	7	G8V		HD10700	CG3
